epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,518.802,1.20719,2.09135,1.36208,0.95481,0.88069,0.95564,0.71117,0.91494,2.07529,1.04675,0.000548158,0.000548158,0.000548158
2,1069.35,1.0466,1.33721,1.17012,0.92222,0.93558,0.94502,0.67297,0.95975,1.20351,1.00939,0.00108197,0.00108197,0.00108197
3,1660.99,1.03344,1.11414,1.14471,0.95719,0.92331,0.9672,0.73402,0.86139,0.92924,0.99208,0.00159378,0.00159378,0.00159378
4,2273.54,0.99116,0.94489,1.10893,0.89887,0.94054,0.93297,0.63931,1.0405,1.30602,1.12079,0.00156798,0.00156798,0.00156798
5,2894.47,0.93728,0.82405,1.09352,0.98606,0.94846,0.98115,0.74341,0.79999,0.61795,0.96685,0.00153497,0.00153497,0.00153497
6,3497.71,0.93993,0.7576,1.09715,0.96942,0.94172,0.97426,0.75684,0.82645,0.5858,0.97968,0.00150197,0.00150197,0.00150197
7,4137.68,0.87282,0.6802,1.05482,0.95529,0.97546,0.98737,0.78082,0.75274,0.50885,0.91067,0.00146896,0.00146896,0.00146896
8,4771.45,0.86403,0.66076,1.05337,0.97631,0.96626,0.97899,0.7538,0.8085,0.5174,0.97505,0.00143595,0.00143595,0.00143595
9,5395.67,0.87723,0.64859,1.06103,0.96638,0.94894,0.98327,0.77113,0.73968,0.49035,0.94202,0.00140295,0.00140295,0.00140295
10,6053.35,0.84753,0.60495,1.03806,0.97076,0.96012,0.97667,0.74168,0.75374,0.47623,0.93817,0.00136994,0.00136994,0.00136994
11,6670.29,0.80548,0.56599,1.02623,0.97518,0.96933,0.98833,0.80839,0.67517,0.45638,0.89712,0.00133693,0.00133693,0.00133693
12,7335.34,0.80941,0.53445,1.02961,0.97393,0.96231,0.98274,0.77387,0.79113,0.46118,0.95623,0.00130393,0.00130393,0.00130393
